Train_Station,Street_Name,Street_Type,Entrance_Type,LAT,LONG,Exit_Number
Aberdeen,Macqueen,St,Ramp,-32.16688641,150.8919573,
Adamstown,Park,Ave,Path,-32.9337056,151.7204518,
Albion Park,Burroo,St,Ramp,-34.56340933,150.79939,
Allawah,Roberts,Lane,Stairs,-33.96949011,151.1145667,
Arlington LR,Constitution,Rd,Path,-33.9020497,151.1380434,
Arncliffe,Firth,St,Lift,-33.93677457,151.1468602,
Artarmon,Valetta,Lane,Ramp,-33.80823377,151.1847419,
Ashfield,Brown,St,Lift,-33.88789161,151.1257974,
Asquith,Haldane,St,Path,-33.68869132,151.1082656,
Auburn,South,Pde,Stairs,-33.849663,151.0329192,
Austinmer,Railway,Ave,Path,-34.30650136,150.9289071,
Awaba,Adelaide,St,Ramp,-33.0129167,151.5421589,
Banksia,Railway,St,Stairs,-33.94488347,151.1404482,
Bankstown,North,Tce,Ramp,-33.91768635,151.0342697,
Bardwell Park,Hartill Law,Ave,Stairs,-33.93137824,151.125379,
Bargo,Great Southern,Rd,Path,-34.29097858,150.5801756,
Beecroft,Sutherland,Rd,Path,-33.74921627,151.0667339,
Bell,Sandham ,Rd,Ramp,-33.5061656,150.2793612,
Bella Vista,Mawson Ave - South,<Null>,Lift,-33.73118266,150.9442965,
Bellambi,Bellambi,Lane,Ramp,-34.36261281,150.9101311,
Belmore,Burwood,Rd,Lift,-33.91724884,151.0883372,
Berala,Campbell,St,Path,-33.8719773,151.0328288,
Beresfield,Addison,St,Lift,-32.79947121,151.6581617,
Berowra,Pacific,Hwy,Ramp,-33.62300205,151.1531421,
Berry,Station,Rd,Path,-34.78027342,150.6967235,
Beverly Hills,King Georges,Rd,Stairs,-33.94926254,151.0804784,
Bexley North,Bexley,Rd,Stairs,-33.9374812,151.1139261,
Birrong,Avalon,St,Stairs,-33.89253644,151.0243134,
Blackheath,Station,St,Stairs,-33.63400546,150.2842535,
Blacktown,First,Ave,Stairs,-33.7677336,150.9079689,3
Blaxland,Wilson,Way,Lift,-33.74369934,150.6099627,
Bomaderry,Meroo,St,Path,-34.85374494,150.6097702,
Bombo,Princes,Hwy,Stairs,-34.65868669,150.8537686,
Bondi Junction,Grafton,St,Stairs,-33.89103017,151.2485965,
Booragul,Fourth,St,Ramp,-32.97169903,151.605168,
Bowral,Wingercarribee,St,Lift,-34.47837068,150.4165765,
Branxton,Railway,St,Ramp,-32.66221027,151.3459324,
Bridge Street LR,George,St,Path,-33.86378327,151.2075021,
Broadmeadow,Brown,Rd,Stairs,-32.92236891,151.7349462,
Bullaburra,Great Western,Hwy,Ramp,-33.72351988,150.4152013,
Bulli,Franklin,Ave,Path,-34.33428666,150.9149143,
Bundanoon,Church,St,Path,-34.65604988,150.2995728,
Burradoo,Burradoo,Rd,Path,-34.49418601,150.3981296,
Burwood,Burwood,Rd,Stairs,-33.87704552,151.1038525,
Cabramatta,Railway,Pde,Ramp,-33.89494229,150.9387321,
Camellia,Grand,Ave,Ramp,-33.81918103,151.024141,
Campbelltown,Farrow,Rd,Stairs,-34.06302424,150.8144097,
Campsie,Beamish,St,Ramp,-33.91039285,151.1035577,
Canley Vale,Railway,Pde,Ramp,-33.88734662,150.9434198,
Canterbury,Canterbury,Rd,Path,-33.9121163,151.1190137,
Capitol Square LR,Hay,St,Path,-33.87970841,151.2055584,
Cardiff,Main,Rd,Path,-32.9412794,151.6628198,
Caringbah,Kingsway,,Stairs,-34.04157881,151.121856,
Carlingford,Lloyds,Ave,Ramp,-33.78270924,151.046786,
Carlton,Carlton,Pde,Lift,-33.96801021,151.1243905,
Carramar,Carramar,Ave,Path,-33.88431636,150.9605645,
Castle Hill,Old Castle Hill,,Escalators,-33.73165908,151.0071861,
Casula,Casula,Rd,Stairs,-33.95004957,150.9121379,
Central,Pitt,St,Path,-33.88236674,151.2058136,1
Central Chalmers Street LR,Chalmers,St,Path,-33.88389566,151.2079578,
Chatswood,Railway,St,Lift,-33.79689881,151.1807121,
Cheltenham,Cheltenham,Rd,Lift,-33.75543909,151.0781092,
Cherrybrook,Bradfield,Pde,Lift,-33.73663239,151.0320313,1
Chester Hil,Chester Hill,Rd,Path,-33.88368818,151.0004627,
Chinatown LR,George,St,Path,-33.87824087,151.2055617,
Circular Quay,Alfred,St,Escalators,-33.86125995,151.2105656,
Circular Quay LR,Alfred,St,Path,-33.86157037,151.2105169,
Clarendon,Racecource,Rd,Ramp,-33.60859421,150.7877637,
Clyde,Factory,St,Ramp,-33.83606198,151.0165639,2
Coalcliff,Lawrence Hargrave ,Dr,Stairs,-34.24253571,150.977052,
Cockle Creek,Creek Reserve,Rd,Path,-32.94287548,151.6238126,
Coledale,Cater,St,Stairs,-34.28989285,150.943031,
Como,Como,Pde,Ramp,-34.00447157,151.0676891,
Concord West,King,St,Lift,-33.84808986,151.0851995,
Coniston,Gladsone,Ave,Ramp,-34.43796566,150.884845,
Convention Centre LR,Darling,Dr,Ramp,-33.87286403,151.1981517,
Corrimal,Duff,Pde,Path,-34.37549456,150.9051489,
Cowan,Pacific,Hwy,Ramp,-33.5937893,151.1715651,
Cringila,Five Island,Rd,Stairs,-34.46737362,150.8782723,
Cronulla,Cronulla,St,Path,-34.05684046,151.1517217,
Croydon,Paisley,Rd,Stairs,-33.8831857,151.1150828,
Dapto,Staiton,St,Path,-34.49307785,150.7918339,
Denistone,Gordon,Cres,Path,-33.79951928,151.0867539,
Domestic,Keith Smith,Ave,Lift,-33.93398698,151.1800496,
Doonside,School,Pde,Ramp,-33.76401541,150.8692816,
Dora Creek,Newport,Rd,Stairs,-33.08402158,151.500698,
Douglas Park,Camden,Rd,Path,-34.18330344,150.7105388,
Dulwich Grove LR,New Canterbury,Rd,Lift,-33.9047721,151.1389753,
Dulwich Hill,Wardell,Rd,Stairs,-33.91105837,151.1411463,
Dulwich Hill LR,Bedford,Cres,Lift,-33.9106266,151.1405558,
Dundas,Station,St,Path,-33.80402698,151.0331103,
Dungog,Brown,St,Stairs,-32.40249309,151.759251,
East Hills,Park,Rd,Ramp,-33.96157358,150.9844493,
East Maitland,Melbourne,St,Stairs,-32.74457268,151.5874741,
East Richmond,Bourke,St,Stairs,-33.6017457,150.7587291,
Eastwood,West,Pde,Path,-33.79014802,151.0819726,
Edgecliff,New South Head,Rd,Path,-33.87893677,151.236154,
Edmondson Park,Soliders,Pde,Lift,-33.96930476,150.8588642,
Emu Plains,Old Bathurst,Rd,Lift,-33.74582701,150.6713326,
Engadine,Princes,Hwy,Ramp,-34.06719539,151.0147353,
Epping,Langston,Pl,Path,-33.77254801,151.0822785,
Ersineville,Erskineville,Rd,Path,-33.90005302,151.1855565,
Exeter,Ringwood,Rd,Path,-34.61346677,150.3177998,
Exhibition Centre LR,Darling,Dr,Ramp,-33.87677819,151.1994751,
Fairfield,Dale,St,Path,-33.87255271,150.957049,
Fairy Meadow,Elliotts,Rd,Stairs,-34.39505996,150.8964522,
Fassifern,Tucker,Cl,Ramp,-32.98557663,151.5808417,
Faulconbridge,Great Western,Hwy,Stairs,-33.69678014,150.5349261,
Fish Market LR,Miller,St,Path,-33.87046367,151.1921783,
Flemington,The Crescent,,Stairs,-33.86515478,151.0706765,
Gerringong,Belinda,St,Ramp,-34.74477882,150.8176504,
Glebe LR,Bayview,St,Ramp,-33.87729496,151.187253,
Glenbrook,Burfitt,Pde,Ramp,-33.76902646,150.6212638,
Glenfield,Railway,Pde,Lift,-33.97228674,150.8932557,
Gordon,Werona,Ave,Ramp,-33.75535054,151.154396,
Gosford,Burns,Cres,Stairs,-33.42348165,151.341911,
Goulburn,Sloane,St,Path,-34.75901982,149.7205882,
Granville,Memorial,Dr,Ramp,-33.83290042,151.0114055,
Green Square,Botany,Rd,Stairs,-33.90581837,151.2030314,
Greta,Nelson,St,Ramp,-32.68678796,151.384282,
Guildford,Railway,Tce,Stairs,-33.85444912,150.9845955,
Gymea,Gymea Bay,Rd,Lift,-34.03490791,151.0852082,
Hamilton,Beaumont ,St,Stairs,-32.91802537,151.7485113,
Harris Park,Station W,St,Stairs,-33.82326239,151.0074636,
Hawkesbury River,Danger,Rd,Stairs,-33.54710145,151.2265988,
Hawthorne LR,Darley,Rd,Path,-33.87958216,151.1475502,
Haymarket LR,Rawson,Pl,Path,-33.88152096,151.2058044,
Hazelbrook,Railway,Pde,Path,-33.72367342,150.4539673,
Heathcote,Wilson,Pde,Ramp,-34.08793975,151.0084144,
Helensburgh,Tunnel,Rd,Stairs,-34.17714736,150.9940859,
Hexham,Maitland ,Rd,Stairs,-32.8287522,151.68432,
High Street,High,St,Stairs,-32.7413273,151.5644242,
Hilldale,Hilldale,Rd,Ramp,-32.50448435,151.649805,
Hills Showground,Doran,Dr,Lift,-33.72797926,150.9868165,
Holsworthy,The Boulevarde,,Ramp,-33.96297936,150.9564564,
Homebush,The Crescent,,Ramp,-33.866968,151.0861075,
Hornsby,Hunter,Lane,Ramp,-33.703839,151.099774,
Hurlstone Park,Duntroon,St,Path,-33.91018981,151.1325419,
Hurstville,Forest,Rd,Ramp,-33.96651714,151.1019021,
Ingleburn,Stanley,Rd,Ramp,-33.99742169,150.8643133,
International,Departure,Plza,Escalators,-33.93518102,151.166541,
Jannali,Mitchell,Ave,Ramp,-34.01599453,151.0643704,
John Street Square LR,Harvey,St,Stairs,-33.86716237,151.192075,
Jubilee Park LR,Chapman,Rd,Ramp,-33.87556013,151.1783683,
Katoomba,Goldsmith,Pl,Ramp,-33.71194806,150.3121686,
Kellyville,Gurragurra,St,Lift,-33.71321913,150.935033,
Kembla Grange,West Dapto,,Ramp,-34.47012644,150.8177961,
Kiama,Railway,Pde,Path,-34.67259919,150.8543663,
Killara,Werona,Ave,Stairs,-33.76569485,151.1620999,
Kings Cross,Victoria,St,Lift,-33.87426901,151.2222047,
Kingsgrove,Kingsgrove,Rd,Stairs,-33.94037591,151.1010846,
Kingswood,Great Western ,Hwy,Stairs,-33.75836745,150.720071,
Kirrawee,Oak,Rd,Path,-34.03491126,151.0710203,
Kogarah,Regent,St,Lift,-33.9627467,151.1326877,
